CMDLINE c:\users\suzanne\appdata\local\programs\python\python39\python.exe test_and_timer.py
MEM 1.988281 1620207627.8957
MEM 14.191406 1620207628.0030
MEM 21.054688 1620207628.1034
MEM 28.042969 1620207628.2189
MEM 34.105469 1620207628.3192
MEM 38.382812 1620207628.4195
MEM 44.605469 1620207628.5197
MEM 48.816406 1620207628.6200
MEM 55.074219 1620207628.7422
MEM 57.910156 1620207628.8424
MEM 85.882812 1620207628.9427
MEM 112.343750 1620207629.0429
MEM 180.839844 1620207629.1431
MEM 236.152344 1620207629.2581
MEM 134.246094 1620207629.3589
MEM 162.683594 1620207629.4595
MEM 191.371094 1620207629.5605
MEM 211.171875 1620207629.6616
MEM 249.402344 1620207629.7627
MEM 260.343750 1620207629.8636
MEM 154.914062 1620207629.9648
MEM 183.039062 1620207630.0658
MEM 191.207031 1620207630.1670
MEM 209.757812 1620207630.2681
MEM 278.867188 1620207630.3693
MEM 208.707031 1620207630.4700
MEM 155.957031 1620207630.5710
MEM 211.218750 1620207630.6722
MEM 85.058594 1620207630.7733
MEM 111.808594 1620207630.8741
MEM 180.113281 1620207630.9750
MEM 211.316406 1620207631.0766
MEM 255.804688 1620207631.1777
MEM 153.507812 1620207631.2791
MEM 181.757812 1620207631.3800
MEM 210.445312 1620207631.4809
MEM 232.984375 1620207631.5823
MEM 261.648438 1620207631.6834
MEM 274.585938 1620207631.7847
MEM 172.968750 1620207631.8856
MEM 201.093750 1620207631.9865
MEM 227.632812 1620207632.0876
MEM 225.992188 1620207632.1887
MEM 306.960938 1620207632.2898
MEM 227.632812 1620207632.3906
MEM 178.457031 1620207632.4915
MEM 245.425781 1620207632.5927
MEM 104.632812 1620207632.6938
MEM 133.257812 1620207632.7947
MEM 201.414062 1620207632.8958
MEM 228.335938 1620207632.9969
MEM 274.542969 1620207633.0983
MEM 172.316406 1620207633.1994
MEM 200.441406 1620207633.3004
MEM 228.128906 1620207633.4011
MEM 244.289062 1620207633.5022
MEM 277.148438 1620207633.6034
MEM 293.328125 1620207633.7046
MEM 192.371094 1620207633.8057
MEM 218.996094 1620207633.9068
MEM 246.371094 1620207634.0079
MEM 239.832031 1620207634.1090
MEM 317.089844 1620207634.2100
MEM 246.371094 1620207634.3111
MEM 192.640625 1620207634.4118
MEM 260.796875 1620207634.5130
MEM 122.320312 1620207634.6142
MEM 151.070312 1620207634.7151
MEM 230.167969 1620207634.8159
MEM 250.191406 1620207634.9170
MEM 293.304688 1620207635.0179
MEM 191.394531 1620207635.1189
MEM 219.707031 1620207635.2199
MEM 247.894531 1620207635.3210
MEM 269.828125 1620207635.4218
MEM 265.460938 1620207635.5229
MEM 342.957031 1620207635.6244
MEM 206.152344 1620207635.7255
MEM 234.339844 1620207635.8266
MEM 316.828125 1620207635.9275
MEM 301.769531 1620207636.0284
MEM 279.789062 1620207636.1295
MEM 228.382812 1620207636.2306
MEM 265.132812 1620207636.3315
MEM 267.257812 1620207636.4323
MEM 187.851562 1620207636.5333
MEM 160.707031 1620207636.6343
MEM 189.207031 1620207636.7352
MEM 257.164062 1620207636.8363
MEM 293.894531 1620207636.9372
MEM 362.226562 1620207637.0383
MEM 229.101562 1620207637.1394
MEM 254.875000 1620207637.2405
MEM 344.519531 1620207637.3417
MEM 300.000000 1620207637.4424
MEM 272.460938 1620207637.5432
MEM 213.976562 1620207637.6443
MEM 242.164062 1620207637.7453
MEM 300.339844 1620207637.8458
MEM 269.859375 1620207637.9469
MEM 312.117188 1620207638.0480
MEM 211.421875 1620207638.1490
MEM 283.945312 1620207638.2502
MEM 269.472656 1620207638.3512
MEM 302.726562 1620207638.4521
MEM 165.832031 1620207638.5534
MEM 194.644531 1620207638.6542
MEM 229.656250 1620207638.7556
MEM 335.246094 1620207638.8566
MEM 308.687500 1620207638.9575
MEM 236.628906 1620207639.0583
MEM 264.753906 1620207639.1593
MEM 318.328125 1620207639.2602
MEM 307.453125 1620207639.3611
MEM 327.093750 1620207639.4649
MEM 409.304688 1620207639.5651
MEM 244.000000 1620207639.6654
MEM 270.187500 1620207639.7661
MEM 314.273438 1620207639.8882
MEM 300.609375 1620207640.0037
MEM 359.437500 1620207640.1040
MEM 279.710938 1620207640.2043
MEM 283.554688 1620207640.3045
MEM 318.781250 1620207640.4048
MEM 196.628906 1620207640.5050
MEM 193.890625 1620207640.6053
MEM 221.765625 1620207640.7056
MEM 273.980469 1620207640.8058
MEM 352.757812 1620207640.9061
MEM 317.003906 1620207641.0063
MEM 252.335938 1620207641.1064
MEM 275.867188 1620207641.2067
MEM 317.457031 1620207641.3263
MEM 315.250000 1620207641.4268
MEM 334.503906 1620207641.5296
MEM 393.964844 1620207641.6298
MEM 261.558594 1620207641.7301
MEM 290.871094 1620207641.8386
MEM 377.457031 1620207641.9395
MEM 345.515625 1620207642.0406
MEM 336.292969 1620207642.1415
MEM 293.714844 1620207642.2536
MEM 321.507812 1620207642.3538
MEM 335.597656 1620207642.4541
MEM 237.039062 1620207642.5544
MEM 215.355469 1620207642.6546
MEM 242.953125 1620207642.7549
MEM 311.351562 1620207642.8551
MEM 356.375000 1620207642.9554
MEM 354.101562 1620207643.0556
MEM 274.402344 1620207643.1559
MEM 307.527344 1620207643.2756
MEM 386.445312 1620207643.3766
MEM 351.894531 1620207643.4776
MEM 377.820312 1620207643.5785
MEM 265.878906 1620207643.6850
MEM 291.441406 1620207643.7852
MEM 319.117188 1620207643.8855
MEM 327.339844 1620207643.9857
MEM 377.246094 1620207644.1006
MEM 382.515625 1620207644.2017
MEM 340.257812 1620207644.3024
MEM 304.230469 1620207644.4163
MEM 359.039062 1620207644.5165
MEM 217.937500 1620207644.6168
MEM 250.562500 1620207644.7343
MEM 338.531250 1620207644.8354
MEM 361.335938 1620207644.9364
MEM 341.335938 1620207645.0376
MEM 289.195312 1620207645.1386
MEM 316.632812 1620207645.2396
MEM 344.632812 1620207645.3404
MEM 364.496094 1620207645.4411
MEM 390.390625 1620207645.5475
MEM 443.929688 1620207645.6478
MEM 300.371094 1620207645.7481
MEM 332.246094 1620207645.8631
MEM 359.070312 1620207645.9641
MEM 344.976562 1620207646.0660
MEM 408.011719 1620207646.1663
MEM 328.476562 1620207646.2666
MEM 359.070312 1620207646.3669
MEM 365.640625 1620207646.4672
MEM 231.335938 1620207646.5871
MEM 259.398438 1620207646.6880
MEM 307.175781 1620207646.7889
MEM 351.972656 1620207646.8897
MEM 382.011719 1620207646.9980
MEM 445.433594 1620207647.0982
MEM 319.449219 1620207647.1985
MEM 347.324219 1620207647.2988
MEM 428.699219 1620207647.3988
MEM 380.699219 1620207647.4991
MEM 436.320312 1620207647.5993
MEM 429.531250 1620207647.6996
MEM 323.765625 1620207647.7999
MEM 351.453125 1620207647.9002
MEM 381.984375 1620207648.0005
MEM 403.386719 1620207648.1007
MEM 363.796875 1620207648.2010
MEM 302.757812 1620207648.3095
MEM 377.882812 1620207648.4168
MEM 377.425781 1620207648.5183
MEM 281.878906 1620207648.6392
MEM 266.238281 1620207648.7395
MEM 293.425781 1620207648.8397
MEM 328.824219 1620207648.9400
MEM 430.519531 1620207649.0404
MEM 410.609375 1620207649.1407
MEM 335.449219 1620207649.2556
MEM 363.386719 1620207649.3567
MEM 449.687500 1620207649.4576
MEM 425.566406 1620207649.5586
MEM 387.242188 1620207649.6597
MEM 324.949219 1620207649.7608
MEM 353.261719 1620207649.8616
MEM 403.285156 1620207649.9625
MEM 390.722656 1620207650.0753
MEM 382.781250 1620207650.1838
MEM 335.640625 1620207650.2850
MEM 396.632812 1620207650.3858
MEM 405.125000 1620207650.4988
MEM 325.039062 1620207650.6074
MEM 285.523438 1620207650.7085
MEM 313.773438 1620207650.8094
MEM 370.019531 1620207650.9105
MEM 408.218750 1620207651.0115
MEM 452.902344 1620207651.1124
MEM 354.023438 1620207651.2134
MEM 382.273438 1620207651.3147
